,Mar 2009,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"3,882","3,842","3,873","2,904","2,646","2,653","3,606","3,778","3,987",259
Expenses +,"3,319","3,844","3,943","2,872","2,417","2,278","3,094","3,507","3,635",310
Operating Profit,562,-3,-70,32,229,375,512,271,352,-52
OPM %,14%,-0%,-2%,1%,9%,14%,14%,7%,9%,-20%
Other Income +,80,172,79,57,40,-148,14,-103,-1,"5,696"
Interest,121,283,443,357,344,276,502,450,488,28
Depreciation,112,136,146,108,113,118,112,103,137,32
Profit before tax,409,-250,-580,-375,-188,-167,-87,-385,-274,"5,585"
Tax %,7%,-3%,-0%,-3%,0%,-184%,-11%,-50%,40%,0%
Net Profit +,379,-242,-578,-363,-188,140,-77,-194,-384,"5,565"
EPS in Rs,23.23,-13.90,-28.33,-17.15,-8.85,5.72,-3.18,-6.25,-12.36,179.12
Dividend Payout %,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%
