,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,246","1,310","1,672","1,584","1,407","1,415","2,050","2,128",963,955,"1,236","2,185","2,392"
Expenses +,669,835,"1,287","1,244",998,"1,110","1,612","1,681",681,746,"1,006","1,730","2,022"
Operating Profit,577,476,386,340,409,305,439,447,282,208,230,456,370
OPM %,46%,36%,23%,21%,29%,22%,21%,21%,29%,22%,19%,21%,15%
Other Income +,26,18,18,47,68,90,76,59,93,427,203,75,93
Interest,240,241,233,243,290,251,328,343,357,332,360,434,529
Depreciation,7,8,15,16,16,15,15,23,20,18,17,28,33
Profit before tax,356,244,156,128,171,129,172,140,-2,286,55,68,-99
Tax %,32%,35%,15%,34%,25%,29%,33%,37%,82%,48%,-20%,38%,
Net Profit +,243,160,133,83,129,91,114,88,-4,148,67,42,-102
EPS in Rs,11.41,6.75,5.60,3.49,5.44,3.85,4.82,3.73,-0.17,6.22,2.80,1.78,-4.25
Dividend Payout %,11%,28%,28%,22%,41%,42%,21%,0%,0%,80%,36%,354%,
