,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,863,"1,021",931,"1,006","1,094","1,036",950,"1,063","1,177","1,160",943,"1,118","1,072"
Expenses +,753,949,853,921,970,966,863,956,994,945,845,919,889
Operating Profit,110,72,78,86,124,71,86,107,184,215,98,199,183
OPM %,13%,7%,8%,8%,11%,7%,9%,10%,16%,19%,10%,18%,17%
Other Income +,44,1,4,1,1,1,2,1,3,1,2,1,12
Interest,6,4,7,8,9,6,7,8,8,6,5,5,5
Depreciation,23,25,25,25,25,25,28,29,34,30,30,29,31
Profit before tax,125,45,50,53,92,41,54,71,145,179,65,165,159
Tax %,29%,45%,45%,61%,26%,25%,13%,26%,34%,32%,25%,31%,27%
Net Profit +,89,25,28,21,68,31,47,52,95,122,49,114,116
EPS in Rs,10.93,1.02,1.14,0.87,2.81,1.27,1.96,2.15,3.95,5.05,2.03,4.71,4.82
Raw PDF,,,,,,,,,,,,,
