,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,992","1,654","2,075","2,049","2,311","1,933","2,302","2,324","2,764","2,184","2,612","2,508","3,085"
Expenses +,"1,857","1,559","1,935","1,888","2,111","1,801","2,098","2,137","2,491","2,044","2,334","2,319","2,785"
Operating Profit,135,96,140,161,200,132,204,187,273,141,278,188,300
OPM %,7%,6%,7%,8%,9%,7%,9%,8%,10%,6%,11%,8%,10%
Other Income +,36,21,40,42,58,2,66,185,55,84,60,32,78
Interest,10,7,8,9,14,13,20,27,28,27,29,29,31
Depreciation,29,29,30,29,29,29,33,36,50,36,42,35,45
Profit before tax,132,81,142,165,214,91,217,309,251,161,266,156,301
Tax %,22%,28%,23%,23%,27%,34%,27%,23%,25%,32%,26%,27%,32%
Net Profit +,103,59,109,126,156,60,159,237,188,109,198,114,206
EPS in Rs,8.61,4.95,9.16,10.59,13.09,4.94,13.24,20.00,15.97,9.72,16.54,9.73,17.27
Raw PDF,,,,,,,,,,,,,
