,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,668,732,803,910,"1,075","1,217","1,285",800,"1,343","2,127","2,357","2,507"
Expenses +,546,600,663,758,848,880,930,625,930,"1,447","1,653","1,750"
Operating Profit,122,132,140,152,227,337,355,175,412,680,704,757
OPM %,18%,18%,17%,17%,21%,28%,28%,22%,31%,32%,30%,30%
Other Income +,3,6,7,9,8,19,23,76,55,53,66,95
Interest,1,1,1,0,0,34,40,45,50,63,79,90
Depreciation,11,12,13,16,20,94,121,122,134,181,229,258
Profit before tax,113,125,133,144,215,228,218,85,283,489,462,504
Tax %,34%,34%,34%,35%,34%,34%,27%,23%,25%,26%,11%,30%
Net Profit +,75,82,87,95,142,153,161,65,214,365,415,354
EPS in Rs,50.63,55.83,57.67,61.80,94.39,11.13,11.80,2.57,7.79,13.30,15.17,12.88
Dividend Payout %,22%,21%,22%,22%,21%,22%,25%,58%,29%,30%,33%,155%
