,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,406","1,820","1,385","1,201","1,380","1,708","1,350","2,190","1,515","1,755","1,226","1,140","1,341"
Expenses +,"1,132","1,192","1,130","1,191","1,153","1,186",939,"1,613",788,965,840,850,952
Operating Profit,275,628,256,10,227,521,411,577,727,790,386,290,388
OPM %,20%,35%,18%,1%,16%,31%,30%,26%,48%,45%,32%,25%,29%
Other Income +,126,9,116,5,-1,7,-70,-56,46,24,79,116,26
Interest,143,150,138,135,137,119,117,105,109,109,110,97,97
Depreciation,119,116,117,117,115,115,116,117,116,118,120,116,116
Profit before tax,139,372,117,-238,-26,294,108,299,548,588,234,193,201
Tax %,102%,35%,36%,-8%,69%,35%,36%,42%,-7%,41%,22%,34%,23%
Net Profit +,-2,242,75,-218,-44,192,69,173,589,349,183,127,156
EPS in Rs,-0.00,0.35,0.11,-0.32,-0.06,0.28,0.10,0.25,0.86,0.51,0.27,0.18,0.23
Raw PDF,,,,,,,,,,,,,
