,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,476,690,530,692,845,699,646,707,821,907,789,867,"1,021"
Expenses +,402,655,483,624,750,594,563,581,710,767,688,739,871
Operating Profit,74,35,48,68,95,105,83,126,111,140,100,128,151
OPM %,16%,5%,9%,10%,11%,15%,13%,18%,14%,15%,13%,15%,15%
Other Income +,33,49,121,381,117,51,44,29,38,46,38,46,50
Interest,22,24,27,31,37,27,27,28,28,30,34,50,44
Depreciation,4,3,3,3,4,3,6,9,9,9,14,14,15
Profit before tax,80,58,138,416,172,126,94,118,112,148,90,111,142
Tax %,19%,15%,4%,3%,17%,26%,26%,32%,31%,26%,32%,30%,26%
Net Profit +,65,49,133,402,142,93,69,80,78,110,62,77,105
EPS in Rs,4.31,3.23,8.81,26.72,9.43,6.63,4.48,5.17,5.04,7.08,4.23,5.16,6.83
Raw PDF,,,,,,,,,,,,,
