,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,451,415,414,385,472,423,455,472,513,470,542,543,567
Expenses +,391,360,363,341,405,355,384,396,424,392,462,480,494
Operating Profit,60,55,52,43,67,68,72,76,90,78,80,64,73
OPM %,13%,13%,12%,11%,14%,16%,16%,16%,17%,17%,15%,12%,13%
Other Income +,3,1,9,2,-20,2,2,2,-0,-120,21,1,61
Interest,5,5,5,6,7,10,10,10,10,10,13,14,13
Depreciation,20,20,20,20,21,21,22,22,22,22,24,23,25
Profit before tax,37,31,35,19,19,39,41,46,57,-74,64,27,97
Tax %,64%,26%,28%,29%,94%,28%,27%,30%,42%,17%,38%,36%,-6%
Net Profit +,14,23,25,13,1,28,30,32,33,-87,40,18,103
EPS in Rs,0.90,1.56,1.75,0.94,0.17,1.96,2.12,2.33,2.45,-6.25,2.87,1.27,7.41
Raw PDF,,,,,,,,,,,,,
