,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,301,293,435,295,301,468,404,449,416,529,538,418,376
Expenses +,196,191,165,178,179,168,173,176,188,178,190,185,207
Operating Profit,105,103,270,117,122,300,232,273,228,351,348,233,169
OPM %,35%,35%,62%,40%,41%,64%,57%,61%,55%,66%,65%,56%,45%
Other Income +,4,13,4,-2,8,1,2,1,4,5,2,3,0
Interest,2,2,2,2,2,3,3,3,3,3,3,3,3
Depreciation,9,10,10,10,10,10,10,10,12,11,11,11,12
Profit before tax,97,104,262,103,117,288,220,261,218,341,336,221,154
Tax %,45%,12%,23%,41%,27%,19%,17%,22%,17%,20%,22%,22%,34%
Net Profit +,54,92,202,60,86,234,183,203,181,274,263,174,102
EPS in Rs,4.25,7.21,15.73,4.76,6.75,18.46,14.39,14.59,12.79,19.97,18.76,11.78,6.83
Raw PDF,,,,,,,,,,,,,
