,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"2,441","2,958","3,431","1,850","1,730","1,911","1,337","1,716",548,533,406,477,477
Expenses +,"2,110","2,760","2,525","2,560","1,971","1,956","1,534","2,182",635,561,432,"1,241","2,446"
Operating Profit,331,198,906,-710,-241,-46,-197,-466,-87,-27,-27,-764,"-1,970"
OPM %,14%,7%,26%,-38%,-14%,-2%,-15%,-27%,-16%,-5%,-7%,-160%,-413%
Other Income +,85,40,-712,111,38,-938,-40,-294,-317,64,86,38,64
Interest,34,85,199,328,312,328,591,765,897,"1,011","3,167","3,091","2,370"
Depreciation,40,50,46,17,12,9,6,7,7,6,6,6,6
Profit before tax,342,103,-51,-944,-528,"-1,320",-834,"-1,531","-1,308",-981,"-3,114","-3,823","-4,281"
Tax %,40%,55%,220%,-7%,-17%,-1%,-5%,3%,19%,1%,-0%,-0%,
Net Profit +,205,46,-162,-880,-427,"-1,306",-794,"-1,583","-1,608","-1,026","-3,103","-3,807","-4,262"
EPS in Rs,0.80,0.27,-0.49,-3.44,-1.54,-4.83,-3.02,-5.97,-6.09,-3.87,-10.65,-12.72,-14.25
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
