,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"4,352","4,234","6,033","7,520","6,912","11,163","11,517","12,161","16,026","17,876","20,487","23,961"
Expenses +,"4,578","4,456","5,269","6,601","7,174","9,494","9,745","10,090","15,010","16,612","17,910","20,680"
Operating Profit,-225,-221,764,919,-262,"1,669","1,772","2,072","1,016","1,264","2,577","3,281"
OPM %,-5%,-5%,13%,12%,-4%,15%,15%,17%,6%,7%,13%,14%
Other Income +,817,992,0,-2,"1,569",-2,15,12,809,991,112,40
Interest,9,12,0,0,59,70,0,0,0,0,0,0
Depreciation,50,54,57,7,51,0,90,130,141,142,134,0
Profit before tax,533,705,708,910,"1,196","1,598","1,697","1,954","1,684","2,113","2,555","3,321"
Tax %,3%,17%,28%,23%,28%,34%,30%,25%,24%,18%,25%,24%
Net Profit +,520,585,507,702,862,"1,049","1,194","1,473","1,271","1,729","1,919","2,508"
EPS in Rs,11.69,13.11,11.34,15.56,18.98,23.10,26.27,32.40,25.89,35.21,38.94,50.60
Dividend Payout %,0%,15%,26%,22%,17%,26%,13%,25%,35%,28%,28%,23%
