,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,765,895,904,"1,192","1,642","2,070","2,292","2,452","2,904","3,606","4,062","4,429","5,192"
Expenses +,648,763,778,"1,019","1,378","1,620","1,754","1,829","2,205","2,804","3,145","3,380","3,414"
Operating Profit,117,132,127,172,264,449,538,623,699,802,918,"1,049","1,778"
OPM %,15%,15%,14%,14%,16%,22%,23%,25%,24%,22%,23%,24%,34%
Other Income +,19,18,14,46,30,55,75,66,144,78,98,162,401
Interest,12,18,14,57,73,82,90,111,133,151,153,106,204
Depreciation,56,59,55,71,116,194,230,254,190,165,181,157,332
Profit before tax,67,72,71,90,106,228,292,324,520,563,681,948,"1,643"
Tax %,23%,9%,-0%,-24%,7%,-0%,9%,21%,26%,35%,36%,21%,
Net Profit +,49,60,70,112,99,229,265,256,383,366,439,752,"1,335"
EPS in Rs,1.75,2.15,2.48,3.99,4.09,8.66,9.62,9.44,14.49,13.58,16.29,27.64,43.24
Dividend Payout %,6%,5%,4%,5%,6%,2%,2%,3%,2%,2%,2%,1%,
