,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,207,267,233,299,368,431,523,555,677,628,458,381
Expenses +,171,213,201,236,299,354,437,443,522,551,464,448
Operating Profit,35,54,32,63,69,76,85,112,154,77,-6,-66
OPM %,17%,20%,14%,21%,19%,18%,16%,20%,23%,12%,-1%,-17%
Other Income +,-0,-16,4,-8,12,11,12,8,10,13,6,6
Interest,9,13,13,12,11,12,13,5,9,21,25,37
Depreciation,15,13,10,14,15,19,23,26,34,34,36,44
Profit before tax,11,13,12,29,56,56,61,89,121,35,-62,-141
Tax %,22%,-17%,59%,33%,37%,36%,23%,27%,26%,27%,-24%,-4%
Net Profit +,9,15,5,19,35,36,48,65,90,26,-47,-135
EPS in Rs,4.68,7.60,2.55,9.80,17.87,18.28,24.28,33.21,45.85,13.04,-23.93,-68.71
Dividend Payout %,21%,16%,0%,15%,8%,8%,6%,5%,3%,12%,-6%,0%
