,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,035","3,018","2,488","3,479","2,384","2,063","3,119","2,008","1,965","2,163","2,635","2,814","1,922"
Expenses +,"1,616","2,493","2,097","3,133","2,058","1,921","2,881","1,900","1,939","2,053","2,352","2,656","1,842"
Operating Profit,418,525,391,346,326,142,237,108,26,110,284,158,80
OPM %,21%,17%,16%,10%,14%,7%,8%,5%,1%,5%,11%,6%,4%
Other Income +,65,32,73,20,28,51,197,83,54,52,154,60,61
Interest,3,3,3,6,3,2,2,1,7,2,2,2,4
Depreciation,44,45,46,46,45,45,46,46,47,47,48,49,48
Profit before tax,435,509,415,313,305,146,387,144,26,113,387,168,89
Tax %,34%,32%,31%,-31%,26%,23%,20%,18%,7%,22%,23%,20%,19%
Net Profit +,286,346,285,410,225,112,309,118,24,87,298,134,72
EPS in Rs,7.17,8.68,7.16,10.29,5.64,2.82,7.75,2.96,0.62,2.19,7.48,3.36,1.80
Raw PDF,,,,,,,,,,,,,
