,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,10,7,192,7,9,5,206,6,5,8,163,6,7
Expenses +,8,5,6,4,7,4,6,5,4,6,2,2,2
Operating Profit,3,3,186,3,2,1,200,1,1,2,161,4,5
OPM %,26%,35%,97%,45%,19%,23%,97%,19%,13%,26%,99%,71%,71%
Other Income +,0,0,0,1,0,0,0,1,0,-13,0,1,58
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,1,1,1,1,1,1,1,0,0,0
Profit before tax,2,2,186,4,1,1,200,1,0,-12,161,4,62
Tax %,30%,32%,-2%,26%,36%,30%,1%,29%,41%,-170%,6%,23%,17%
Net Profit +,2,1,190,3,1,0,198,1,0,8,151,3,52
EPS in Rs,1.37,1.25,166.28,2.63,0.72,0.42,173.01,0.87,0.09,7.23,132.26,2.89,45.18
Raw PDF,,,,,,,,,,,,,
