,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,359,467,532,440,442,421,695,746,709,895,"1,080","1,031",931
Expenses +,301,405,390,322,343,342,570,635,648,781,970,931,854
Operating Profit,58,62,143,118,99,80,125,112,61,114,111,101,77
OPM %,16%,13%,27%,27%,22%,19%,18%,15%,9%,13%,10%,10%,8%
Other Income +,9,13,-8,34,42,40,-10,19,41,46,33,50,29
Interest,11,13,11,9,7,5,9,9,8,7,8,8,7
Depreciation,19,28,41,39,37,45,78,86,79,92,75,82,64
Profit before tax,37,35,83,103,97,69,28,35,15,61,60,60,35
Tax %,35%,62%,44%,34%,31%,33%,75%,28%,105%,24%,23%,33%,
Net Profit +,24,13,46,69,67,46,7,26,-1,46,46,40,17
EPS in Rs,773.61,320.87,5.67,7.25,7.02,4.86,1.21,3.68,0.24,4.84,4.87,4.25,1.78
Dividend Payout %,1%,3%,1%,14%,21%,21%,82%,26%,415%,23%,21%,24%,
