,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,058","1,261",967,908,"1,076","1,052","1,001",925,889,926,"1,159","1,319","1,239"
Expenses +,707,892,685,713,862,837,759,737,737,666,821,950,968
Operating Profit,352,370,281,196,214,215,242,188,152,261,337,369,271
OPM %,33%,29%,29%,22%,20%,20%,24%,20%,17%,28%,29%,28%,22%
Other Income +,30,-39,21,44,24,83,24,32,42,75,51,-0,46
Interest,45,32,32,33,28,35,35,31,28,36,50,64,70
Depreciation,46,44,44,45,45,45,46,46,46,45,62,78,87
Profit before tax,291,255,226,161,165,218,186,143,121,255,276,226,160
Tax %,30%,32%,18%,19%,30%,20%,19%,25%,37%,24%,26%,17%,41%
Net Profit +,207,173,186,130,115,172,149,114,88,198,203,200,100
EPS in Rs,5.92,4.71,5.13,3.70,3.44,4.85,3.99,3.32,2.68,5.64,5.55,5.60,3.07
Raw PDF,,,,,,,,,,,,,
