,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,100,106,102,109,88,118,71,118,180,280,397,623
Expenses +,93,98,88,92,78,104,68,108,161,227,284,438
Operating Profit,8,8,13,18,9,14,3,10,19,53,113,185
OPM %,8%,8%,13%,16%,11%,12%,4%,8%,11%,19%,29%,30%
Other Income +,3,3,3,3,1,2,3,2,3,8,13,16
Interest,2,1,1,1,1,3,1,2,1,1,0,0
Depreciation,1,2,1,1,1,2,3,3,3,2,3,3
Profit before tax,7,9,14,19,8,11,2,7,19,58,123,197
Tax %,40%,35%,35%,35%,28%,27%,25%,24%,27%,26%,25%,26%
Net Profit +,4,6,9,12,6,8,2,6,14,43,92,147
EPS in Rs,5.50,7.64,11.96,16.17,7.72,10.20,1.97,7.26,18.47,56.74,120.48,192.54
Dividend Payout %,14%,10%,10%,9%,13%,10%,25%,10%,11%,9%,10%,6%
