,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,948","2,549","3,420","5,531","4,774","5,499","5,172","8,125","7,242","6,390","8,315","7,877","7,985"
Expenses +,"1,368","1,829","2,426","4,464","3,855","4,222","3,718","5,769","5,308","4,872","6,227","5,379","5,170"
Operating Profit,579,720,994,"1,068",920,"1,277","1,454","2,356","1,934","1,517","2,088","2,498","2,814"
OPM %,30%,28%,29%,19%,19%,23%,28%,29%,27%,24%,25%,32%,35%
Other Income +,64,97,99,288,99,82,232,161,"3,036","1,018",780,"1,560",433
Interest,149,229,321,346,316,566,723,"1,023",979,555,807,"1,219","1,472"
Depreciation,68,89,140,127,164,155,323,667,593,471,647,716,793
Profit before tax,426,500,631,882,539,638,640,827,"3,398","1,509","1,414","2,122",983
Tax %,31%,35%,42%,26%,31%,33%,31%,34%,15%,20%,25%,23%,
Net Profit +,291,321,367,653,373,425,442,549,"2,878","1,215","1,067","1,629",810
EPS in Rs,8.17,8.98,8.86,16.26,7.06,9.90,11.08,10.06,69.41,28.69,23.49,34.28,14.16
Dividend Payout %,15%,17%,17%,7%,17%,12%,14%,15%,2%,5%,6%,5%,
