,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,767,759,820,834,855,814,785,797,829,826,891,861,896
Expenses +,660,641,705,707,701,669,640,640,678,672,730,718,757
Operating Profit,107,117,115,127,154,146,144,157,152,154,161,143,140
OPM %,14%,15%,14%,15%,18%,18%,18%,20%,18%,19%,18%,17%,16%
Other Income +,40,10,9,7,13,7,25,8,14,9,11,9,28
Interest,7,7,8,8,8,6,6,6,7,7,8,9,7
Depreciation,17,17,17,17,17,18,18,19,23,22,23,26,28
Profit before tax,122,103,100,110,142,129,144,140,136,135,141,118,133
Tax %,11%,20%,21%,23%,26%,22%,24%,23%,22%,23%,23%,22%,24%
Net Profit +,109,82,79,84,105,101,110,108,106,104,109,92,101
EPS in Rs,3.57,2.69,2.59,2.75,3.45,3.31,3.59,3.53,3.49,3.42,3.60,3.04,3.31
Raw PDF,,,,,,,,,,,,,
