,Mar 2018,Mar 2019,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,383,421,179,255,510,579,610
Expenses +,308,336,167,209,347,386,413
Operating Profit,75,85,12,46,163,193,197
OPM %,20%,20%,7%,18%,32%,33%,32%
Other Income +,4,8,-4,12,14,12,19
Interest,42,50,57,60,62,66,26
Depreciation,31,31,38,40,49,51,55
Profit before tax,7,12,-87,-42,65,89,135
Tax %,218%,20%,-13%,-33%,27%,22%,
Net Profit +,-8,10,-76,-28,48,69,75
EPS in Rs,-4.56,5.58,-4.34,-1.61,2.75,3.22,3.53
Dividend Payout %,0%,0%,0%,0%,0%,0%,
