,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"4,311","4,050","3,447","3,469","3,873","4,425","3,703","4,988","5,794","5,047","5,606"
Expenses +,"3,396","2,688","2,667","2,793","3,160","3,283","2,544","3,457","4,237","3,624","3,842"
Operating Profit,916,"1,362",780,677,713,"1,143","1,159","1,531","1,557","1,423","1,764"
OPM %,21%,34%,23%,20%,18%,26%,31%,31%,27%,28%,31%
Other Income +,395,193,185,196,292,277,204,170,184,283,225
Interest,239,195,174,180,362,367,22,161,185,171,186
Depreciation,801,542,566,610,658,671,628,635,753,889,951
Profit before tax,270,818,226,82,-16,382,713,904,803,645,852
Tax %,28%,4%,19%,-273%,304%,12%,2%,5%,-8%,-5%,1%
Net Profit +,195,782,182,306,-63,336,696,861,870,679,844
EPS in Rs,4.19,16.78,3.92,6.58,-1.35,7.22,14.94,18.47,18.68,14.58,18.11
Dividend Payout %,0%,0%,0%,0%,0%,10%,2%,2%,2%,3%,36%
