,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,225,331,402,198,535,696,"1,018",554,713,440,714,604,865
Expenses +,253,303,351,193,477,637,908,524,655,392,627,540,731
Operating Profit,-28,28,51,5,58,59,110,30,58,48,87,64,135
OPM %,-12%,8%,13%,2%,11%,8%,11%,6%,8%,11%,12%,11%,16%
Other Income +,34,13,16,28,20,22,31,32,39,59,4,1,14
Interest,8,15,13,12,20,19,20,12,22,16,17,19,23
Depreciation,14,14,17,19,18,19,18,19,20,21,17,20,12
Profit before tax,-16,12,38,1,40,42,103,31,54,70,57,27,113
Tax %,38%,7%,18%,5%,28%,27%,6%,12%,15%,13%,8%,-27%,11%
Net Profit +,-20,12,35,6,29,40,102,58,54,67,60,43,108
EPS in Rs,-2.20,1.35,4.29,0.56,3.58,4.37,11.24,6.49,6.16,7.49,6.51,4.64,11.04
Raw PDF,,,,,,,,,,,,,
