,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales +,94,239,329,234,276,351,306,269,244,226,278,211,206
Expenses +,117,209,265,215,245,304,266,260,254,353,288,249,246
Operating Profit,-23,30,63,20,31,46,40,8,-10,-127,-10,-38,-40
OPM %,-25%,13%,19%,8%,11%,13%,13%,3%,-4%,-56%,-4%,-18%,-19%
Other Income +,3,15,5,12,7,2,4,4,5,2,2,4,4
Interest,8,9,9,11,10,11,13,18,14,19,18,20,16
Depreciation,21,22,23,29,26,27,29,39,29,33,31,31,27
Profit before tax,-49,14,35,-8,3,10,1,-45,-49,-177,-57,-84,-80
Tax %,-26%,22%,29%,-24%,6%,24%,29%,-37%,-25%,-23%,-9%,-24%,-25%
Net Profit +,-36,11,25,-6,2,8,0,-28,-37,-136,-52,-64,-60
EPS in Rs,-5.86,1.80,4.07,-0.94,0.40,1.24,0.08,-4.56,-5.85,-21.57,-8.17,-10.05,-9.44
Raw PDF,,,,,,,,,,,,,
