,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,151,207,288,337,441,839,"1,159",633,676,"1,294","1,962","3,171","3,559"
Expenses +,173,228,291,315,375,683,983,484,534,"1,149","1,787","2,920","3,269"
Operating Profit,-22,-20,-2,22,67,156,176,149,142,145,175,251,290
OPM %,-15%,-10%,-1%,7%,15%,19%,15%,23%,21%,11%,9%,8%,8%
Other Income +,1,2,7,5,16,31,66,73,19,18,71,28,79
Interest,1,1,1,1,4,6,6,4,4,2,2,3,6
Depreciation,3,7,13,18,22,66,82,87,75,63,62,69,70
Profit before tax,-25,-27,-10,9,56,115,153,130,82,98,182,208,292
Tax %,0%,0%,-0%,-1%,23%,23%,18%,17%,14%,15%,25%,25%,
Net Profit +,-25,-26,-11,9,44,88,126,108,70,84,136,156,231
EPS in Rs,-0.16,-0.16,-0.06,0.04,0.20,0.41,0.48,0.41,0.27,0.32,0.52,0.57,0.81
Dividend Payout %,0%,0%,0%,0%,0%,3%,0%,6%,9%,15%,10%,9%,
