,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,597,"1,024","1,341","1,324","1,277","1,404","1,608","1,752","2,101"
Expenses +,525,894,"1,128","1,104","1,067","1,209","1,420","1,423","1,648"
Operating Profit,72,130,213,221,210,195,188,329,454
OPM %,12%,13%,16%,17%,16%,14%,12%,19%,22%
Other Income +,10,16,14,66,43,38,21,26,21
Interest,20,24,29,38,24,25,70,102,88
Depreciation,27,43,47,57,71,75,108,123,132
Profit before tax,36,79,152,193,158,133,31,130,255
Tax %,24%,32%,38%,24%,26%,27%,31%,27%,27%
Net Profit +,27,53,94,146,117,97,21,95,185
EPS in Rs,7.21,14.19,24.10,37.35,29.90,24.91,5.68,24.27,47.83
Dividend Payout %,14%,11%,10%,4%,7%,8%,0%,8%,10%
