,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,996","1,953","2,854","6,751","11,398","14,444"
Expenses +,"1,903","1,868","2,748","5,915","9,823","11,723"
Operating Profit,93,85,106,836,"1,575","2,722"
OPM %,5%,4%,4%,12%,14%,19%
Other Income +,25,45,97,88,576,398
Interest,34,31,41,82,140,152
Depreciation,27,29,43,164,277,402
Profit before tax,57,70,118,677,"1,734","2,565"
Tax %,31%,31%,33%,26%,27%,25%
Net Profit +,39,48,80,500,"1,274","1,928"
EPS in Rs,2.12,2.50,3.84,24.49,62.76,65.00
Dividend Payout %,0%,0%,0%,0%,0%,0%
