,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,79.80,94.44,91.00,88.78,80.10,96.65,104.78,82.51,97.82,122.99,117.01,93.81,71.70
Expenses +,65.39,74.07,69.66,73.51,69.62,74.91,92.37,74.46,88.53,93.81,99.88,87.84,79.40
Operating Profit,14.41,20.37,21.34,15.27,10.48,21.74,12.41,8.05,9.29,29.18,17.13,5.97,-7.70
OPM %,18.06%,21.57%,23.45%,17.20%,13.08%,22.49%,11.84%,9.76%,9.50%,23.73%,14.64%,6.36%,-10.74%
Other Income +,4.25,6.45,6.22,7.13,5.32,6.29,6.66,5.94,4.67,6.93,5.56,1.02,1.55
Interest,1.93,2.26,2.37,2.23,2.71,2.49,2.04,2.68,2.16,2.36,2.44,2.79,2.45
Depreciation,2.39,2.46,2.56,2.67,2.80,3.03,3.07,3.10,3.06,2.41,2.45,2.54,2.53
Profit before tax,14.34,22.10,22.63,17.50,10.29,22.51,13.96,8.21,8.74,31.34,17.80,1.66,-11.13
Tax %,30.61%,21.22%,21.43%,23.94%,18.37%,19.19%,18.91%,10.35%,24.14%,21.25%,19.66%,68.67%,-13.12%
Net Profit +,9.95,17.40,17.78,13.31,8.41,18.19,11.32,7.37,6.64,24.68,14.29,0.52,-9.66
EPS in Rs,1.08,1.89,1.93,1.45,0.91,1.98,1.23,0.80,0.72,2.68,1.55,0.06,-1.05
Raw PDF,,,,,,,,,,,,,
