,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,696,821,816,786,818,924,979,941,951,"1,033","1,020","1,034","1,048"
Expenses +,666,799,779,755,778,885,933,891,882,940,938,962,970
Operating Profit,30,22,38,31,40,39,45,50,69,92,81,72,78
OPM %,4%,3%,5%,4%,5%,4%,5%,5%,7%,9%,8%,7%,7%
Other Income +,2,3,3,3,3,3,2,3,5,6,7,8,-2
Interest,1,1,0,0,2,3,2,2,3,3,4,4,4
Depreciation,13,13,14,14,15,15,15,16,16,17,17,18,18
Profit before tax,18,11,26,19,26,24,31,36,55,78,67,59,54
Tax %,29%,31%,28%,28%,31%,29%,27%,25%,26%,25%,28%,27%,30%
Net Profit +,12,7,19,14,18,17,22,27,40,58,49,43,38
EPS in Rs,1.37,0.78,2.05,1.48,1.93,1.80,2.41,2.90,4.36,6.30,5.24,4.64,4.11
Raw PDF,,,,,,,,,,,,,
