,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,0,0,0,0,0,0,0,2,1,1
Expenses +,0,0,0,0,0,9,16,10,14,15
Operating Profit,-0,-0,-0,-0,-0,-9,-16,-8,-13,-14
OPM %,,,,,,,,-392%,"-2,550%","-1,715%"
Other Income +,0,0,0,0,0,0,3,7,7,7
Interest,0,0,0,0,0,1,6,7,6,6
Depreciation,0,0,0,0,1,0,0,0,0,0
Profit before tax,0,-0,-0,-0,-1,-10,-19,-8,-12,-13
Tax %,,0%,0%,-13%,-25%,-26%,-20%,-19%,-20%,
Net Profit +,0,-0,-0,-0,-1,-7,-15,-6,-10,-11
EPS in Rs,,,,,-0.03,-0.26,-0.52,-0.23,-0.34,-0.37
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,0%,
