,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,60,52,74,98,137,166,139,262,456,251,307,370
Expenses +,56,49,69,89,126,150,125,233,285,190,241,290
Operating Profit,4,3,5,9,12,16,14,29,172,61,66,80
OPM %,6%,6%,7%,9%,8%,9%,10%,11%,38%,24%,22%,22%
Other Income +,0,0,0,1,1,1,4,2,4,-14,-5,2
Interest,1,1,1,2,2,2,3,3,3,7,10,10
Depreciation,1,1,2,3,3,3,4,6,11,15,20,18
Profit before tax,2,1,2,6,7,11,11,21,162,26,31,54
Tax %,47%,41%,48%,42%,39%,31%,25%,30%,26%,25%,24%,26%
Net Profit +,1,1,1,3,4,8,8,15,120,19,24,40
EPS in Rs,0.93,0.92,1.55,3.23,4.39,7.28,8.02,14.60,115.64,18.67,22.94,38.41
Dividend Payout %,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%
