,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,291,279,346,385,455,501,557,605,649,718,752,821,957
Expenses +,146,113,132,182,193,225,252,270,276,325,289,293,336
Operating Profit,145,166,213,203,262,276,305,335,372,392,463,528,621
OPM %,50%,59%,62%,53%,58%,55%,55%,55%,57%,55%,62%,64%,65%
Other Income +,5,1,1,0,0,0,0,1,1,0,1,1,1
Interest,92,102,126,140,164,177,196,221,243,271,311,333,358
Depreciation,4,3,7,15,19,16,23,25,24,23,25,26,29
Profit before tax,56,61,81,48,78,84,86,89,107,99,128,171,236
Tax %,25%,24%,30%,22%,17%,24%,24%,24%,22%,23%,24%,25%,25%
Net Profit +,42,46,56,37,65,64,65,68,83,76,97,128,178
EPS in Rs,0.51,0.56,0.68,0.45,0.79,0.77,0.79,0.82,1.00,0.92,1.18,1.55,2.15
Raw PDF,,,,,,,,,,,,,
