,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,269,290,284,317,361,595,566,339,599,827,580,650
Expenses +,242,251,236,263,314,478,447,292,499,676,497,555
Operating Profit,27,38,48,53,47,117,118,47,100,151,82,95
OPM %,10%,13%,17%,17%,13%,20%,21%,14%,17%,18%,14%,15%
Other Income +,8,11,2,7,10,18,17,17,24,14,25,29
Interest,14,13,11,9,12,19,16,10,11,19,14,12
Depreciation,9,9,8,9,10,14,26,29,30,33,38,50
Profit before tax,12,27,32,42,35,101,94,26,84,113,56,62
Tax %,38%,18%,33%,29%,25%,35%,22%,9%,22%,26%,31%,21%
Net Profit +,8,22,21,30,26,66,73,23,65,83,39,49
EPS in Rs,12.82,37.41,36.24,53.67,47.26,117.70,130.59,41.73,117.09,149.46,69.03,87.26
Dividend Payout %,19%,13%,21%,17%,19%,17%,10%,18%,19%,18%,20%,23%
