,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,131","1,482","1,720","1,716","2,164","1,749","1,911","1,959","2,552","1,951","2,242","2,204","2,754"
Expenses +,"1,733","1,465","1,547","1,629","1,812","1,617","1,646","1,690","2,022","1,747","1,900","1,866","2,193"
Operating Profit,398,17,173,87,351,132,266,268,530,204,342,338,561
OPM %,19%,1%,10%,5%,16%,8%,14%,14%,21%,10%,15%,15%,20%
Other Income +,97,92,50,98,32,53,68,43,8,42,78,29,58
Interest,57,62,83,95,104,119,110,106,114,107,108,103,104
Depreciation,165,162,166,164,184,174,185,186,196,185,192,197,243
Profit before tax,273,-115,-26,-74,95,-107,40,19,227,-45,120,67,273
Tax %,25%,-5%,42%,22%,47%,-8%,87%,48%,55%,97%,81%,94%,44%
Net Profit +,204,-109,-37,-90,50,-99,5,10,101,-89,23,4,154
EPS in Rs,,,-0.28,-0.68,0.38,-0.75,0.04,0.08,0.77,-0.67,0.17,0.03,1.16
Raw PDF,,,,,,,,,,,,,
