,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,958","1,728","2,168","2,168","2,150",473,470,678,266,938,"1,045",466,557
Expenses +,"1,674","1,520","1,833","1,854","1,813",431,427,622,256,850,943,435,513
Operating Profit,284,208,335,314,337,42,44,57,10,88,102,31,44
OPM %,15%,12%,15%,14%,16%,9%,9%,8%,4%,9%,10%,7%,8%
Other Income +,-35,28,19,27,-38,"1,065",153,192,249,"7,370",56,95,156
Interest,57,59,63,70,64,8,9,22,5,31,29,16,17
Depreciation,59,58,58,58,62,16,17,18,21,39,40,37,37
Profit before tax,133,118,233,213,173,"1,083",170,210,234,"7,388",89,73,146
Tax %,-100%,31%,30%,55%,-13%,2%,5%,12%,2%,0%,34%,1%,6%
Net Profit +,265,82,162,97,196,"1,067",161,185,230,"7,367",59,72,137
EPS in Rs,39.54,12.15,23.85,14.24,29.18,159.95,23.99,27.55,34.42,"1,106.08",9.01,10.83,19.93
Raw PDF,,,,,,,,,,,,,
