,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,431",961,"1,060","1,250","1,427","1,647","1,755","1,885","1,982","2,692","2,838","3,855","4,046"
Expenses +,"1,462",925,945,"1,089","1,254","1,427","1,538","1,732","1,828","2,435","2,534","3,467","3,724"
Operating Profit,-32,36,115,161,173,219,216,153,154,257,304,388,322
OPM %,-2%,4%,11%,13%,12%,13%,12%,8%,8%,10%,11%,10%,8%
Other Income +,38,37,11,13,8,6,10,10,22,28,30,232,245
Interest,37,39,39,35,27,25,19,35,43,44,33,48,59
Depreciation,40,12,21,20,24,26,28,32,30,34,39,67,78
Profit before tax,-71,22,67,119,131,175,179,97,103,208,262,504,430
Tax %,0%,0%,4%,29%,34%,34%,35%,33%,25%,26%,26%,26%,
Net Profit +,-71,22,64,84,86,115,117,64,77,155,194,375,318
EPS in Rs,-11.36,3.46,9.56,12.60,12.84,17.23,17.51,9.61,11.52,23.17,28.96,55.96,47.49
Dividend Payout %,0%,0%,0%,0%,0%,2%,2%,0%,0%,1%,1%,1%,
