,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,245,351,393,460,288,365,807,"1,281","1,486"
Expenses +,209,292,344,416,297,345,705,"1,131","1,309"
Operating Profit,36,59,49,44,-10,20,102,149,176
OPM %,15%,17%,13%,10%,-3%,5%,13%,12%,12%
Other Income +,3,2,3,4,3,-0,1,6,7
Interest,11,9,12,15,19,15,16,12,11
Depreciation,4,4,9,12,13,17,17,21,25
Profit before tax,24,47,32,21,-39,-13,70,122,147
Tax %,40%,47%,38%,28%,-2%,-22%,14%,29%,
Net Profit +,14,25,20,15,-38,-10,60,86,101
EPS in Rs,0.91,1.63,1.08,0.82,-2.08,-0.54,3.12,4.46,5.19
Dividend Payout %,29%,16%,25%,0%,0%,0%,3%,0%,
