,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,425,450,471,532,632,662,825,808,652,859,"1,078","1,087","1,291"
Expenses +,370,386,403,447,528,555,691,724,547,707,935,929,"1,117"
Operating Profit,55,64,69,85,104,106,134,84,105,152,143,158,174
OPM %,13%,14%,15%,16%,16%,16%,16%,10%,16%,18%,13%,15%,14%
Other Income +,0,1,7,-12,21,16,3,13,1,9,23,16,10
Interest,34,36,31,25,18,29,6,23,14,12,19,19,27
Depreciation,17,18,20,20,19,22,22,30,32,35,36,38,42
Profit before tax,4,12,24,28,87,71,109,44,59,115,111,118,115
Tax %,51%,46%,60%,33%,38%,33%,33%,-6%,27%,26%,26%,24%,
Net Profit +,2,6,10,19,54,48,73,47,43,85,83,90,93
EPS in Rs,1.40,3.97,5.98,10.98,21.30,19.00,28.56,18.26,16.80,32.96,32.88,35.72,36.94
Dividend Payout %,0%,0%,0%,0%,0%,3%,0%,0%,13%,0%,9%,0%,
