,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,685,628,646,724,693,658,705,888,789,756,796,977,850
Expenses +,647,586,596,662,646,600,642,795,736,699,736,868,788
Operating Profit,38,42,50,61,46,58,63,93,53,57,60,110,62
OPM %,6%,7%,8%,8%,7%,9%,9%,11%,7%,8%,8%,11%,7%
Other Income +,5,2,2,14,9,7,3,2,6,9,9,2,8
Interest,2,2,2,2,3,3,3,3,3,3,4,4,4
Depreciation,17,17,18,20,22,22,23,23,25,25,26,26,25
Profit before tax,25,25,31,55,30,40,41,68,32,37,39,82,41
Tax %,-8%,22%,26%,28%,23%,27%,30%,31%,33%,27%,29%,22%,17%
Net Profit +,27,20,23,39,23,30,29,47,21,27,28,64,34
EPS in Rs,1.66,1.19,1.39,2.36,1.42,1.80,1.78,2.87,1.29,1.67,1.67,3.84,2.05
Raw PDF,,,,,,,,,,,,,
