,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,439,435,425,389,406,411,483,464,473,490,498,513,580
Expenses +,387,377,369,335,352,353,420,400,409,425,432,448,510
Operating Profit,52,58,57,54,55,58,64,64,64,65,66,65,69
OPM %,12%,13%,13%,14%,13%,14%,13%,14%,13%,13%,13%,13%,12%
Other Income +,3,1,1,1,3,2,1,4,1,1,1,1,2
Interest,5,5,8,5,4,6,5,4,3,4,4,5,6
Depreciation,17,15,16,16,16,14,15,15,16,15,15,18,18
Profit before tax,34,39,34,35,37,39,45,48,46,47,48,42,48
Tax %,30%,26%,29%,26%,22%,26%,26%,28%,25%,26%,27%,25%,28%
Net Profit +,24,29,24,26,29,29,33,34,34,35,35,32,34
EPS in Rs,4.37,5.21,4.34,4.66,5.25,5.30,5.97,6.23,6.18,6.32,6.39,5.73,6.22
Raw PDF,,,,,,,,,,,,,
