,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023
Sales +,314,196,327,339,310,280,371,385,361,383,457,426,387
Expenses +,300,188,303,322,296,269,346,367,357,385,435,403,368
Operating Profit,14,8,23,18,14,11,24,18,5,-2,22,23,19
OPM %,4%,4%,7%,5%,4%,4%,7%,5%,1%,-1%,5%,5%,5%
Other Income +,2,2,2,2,3,1,8,-12,2,2,3,2,1
Interest,2,2,2,1,1,2,2,2,2,2,2,2,1
Depreciation,15,16,13,13,13,13,13,13,14,14,18,15,15
Profit before tax,-1,-8,11,5,2,-2,17,-8,-9,-16,5,8,4
Tax %,"-2,075%",-21%,23%,15%,-210%,-27%,15%,-15%,-68%,-28%,18%,38%,-495%
Net Profit +,20,-6,8,5,7,-2,15,-7,-3,-11,4,5,22
EPS in Rs,8.43,-2.54,3.60,1.94,3.04,-0.68,6.26,-3.09,-1.26,-4.86,1.81,2.24,9.21
Raw PDF,,,,,,,,,,,,,
