,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,301,329,356,367,378,391,407,410,417,464,522,531,545
Expenses +,229,242,265,277,286,302,324,329,334,379,430,437,461
Operating Profit,72,87,91,89,92,89,83,81,83,85,92,94,84
OPM %,24%,26%,25%,24%,24%,23%,20%,20%,20%,18%,18%,18%,15%
Other Income +,10,1,4,1,8,14,22,25,38,25,27,23,14
Interest,3,3,5,6,9,10,11,11,10,20,28,27,25
Depreciation,9,9,10,10,13,14,15,15,15,22,23,21,23
Profit before tax,70,76,80,75,79,79,79,81,96,68,68,69,50
Tax %,25%,25%,26%,23%,27%,26%,26%,26%,25%,25%,27%,27%,33%
Net Profit +,52,56,59,58,58,58,58,60,72,51,50,50,34
EPS in Rs,3.55,3.84,4.05,3.92,3.93,3.97,3.84,3.92,4.73,3.35,3.25,3.29,2.23
Raw PDF,,,,,,,,,,,,,
