,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,577","1,767","1,784","1,852","1,872","1,685","1,919","1,869","2,004","2,012","1,828","1,780","1,701"
Expenses +,"1,360","1,564","1,630","1,664","1,680","1,525","1,619","1,463","1,693","1,658","1,560","1,525","1,541"
Operating Profit,217,203,154,187,193,160,300,406,311,354,268,255,160
OPM %,14%,12%,9%,10%,10%,10%,16%,22%,16%,18%,15%,14%,9%
Other Income +,9,16,17,15,36,27,18,23,34,24,21,39,39
Interest,53,62,69,77,77,57,57,53,52,41,40,45,35
Depreciation,31,30,30,30,31,30,30,30,34,32,36,37,37
Profit before tax,143,127,72,95,121,100,231,346,260,305,212,213,126
Tax %,21%,25%,26%,18%,26%,25%,24%,24%,13%,26%,27%,25%,-33%
Net Profit +,113,95,53,79,89,75,175,263,227,226,155,160,168
EPS in Rs,1.90,1.60,0.89,1.32,1.50,1.26,2.94,4.43,3.67,3.65,2.51,2.59,2.72
Raw PDF,,,,,,,,,,,,,
