,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,284,398,397,413,980,"1,993","2,915","1,347","1,434",612,448,395
Expenses +,119,140,162,201,478,750,"1,952",963,"1,986",968,650,407
Operating Profit,165,258,236,213,502,"1,243",963,384,-551,-356,-202,-12
OPM %,58%,65%,59%,51%,51%,62%,33%,29%,-38%,-58%,-45%,-3%
Other Income +,18,10,12,96,15,4,4,9,29,109,24,92
Interest,24,61,148,139,224,591,824,518,284,170,94,64
Depreciation,5,13,23,24,12,27,116,84,95,91,63,30
Profit before tax,154,194,77,146,281,629,27,-209,-901,-508,-334,-14
Tax %,34%,22%,4%,30%,25%,27%,-55%,10%,-4%,-5%,12%,384%
Net Profit +,102,151,74,102,210,460,42,-230,-860,-481,-374,-68
EPS in Rs,3.70,4.86,2.12,2.69,3.99,7.59,0.09,-4.27,-14.42,-7.95,-6.22,-0.91
Dividend Payout %,18%,52%,119%,31%,22%,15%,"3,836%",0%,0%,0%,0%,0%
