,Mar 2021,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,199,285,309,338,361,395,413,408,477,513,522,523
Interest,83,108,125,141,164,167,176,173,202,214,221,216
Expenses +,75,111,117,124,124,144,156,154,184,207,273,210
Financing Profit,40,66,67,73,74,84,82,80,91,92,28,98
Financing Margin %,20%,23%,22%,21%,21%,21%,20%,20%,19%,18%,5%,19%
Other Income +,1,8,10,-7,6,3,16,20,14,6,10,14
Depreciation,8,10,11,11,9,9,10,9,11,12,13,13
Profit before tax,33,64,66,55,72,77,88,91,94,86,25,99
Tax %,29%,28%,23%,29%,25%,25%,26%,26%,25%,25%,25%,27%
Net Profit +,23,46,51,39,54,58,65,68,70,65,19,72
EPS in Rs,0.81,1.44,1.59,1.21,1.68,1.80,1.77,1.83,1.89,1.74,0.50,1.92
Gross NPA %,,,2.41%,2.03%,2.26%,2.34%,2.19%,1.70%,1.97%,1.87%,1.80%,2.00%
Net NPA %,,,1.95%,1.59%,1.78%,1.83%,1.66%,1.30%,1.60%,1.47%,1.10%,1.20%
Raw PDF,,,,,,,,,,,,
