,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,554,691,931,"1,030","1,125","1,117","1,394","1,305",957,"1,497",945,949,886
Expenses +,531,619,831,917,966,936,"1,163","1,119",874,"1,376",983,961,913
Operating Profit,23,73,100,113,159,181,231,186,83,121,-37,-12,-27
OPM %,4%,11%,11%,11%,14%,16%,17%,14%,9%,8%,-4%,-1%,-3%
Other Income +,-110,-28,2,17,159,233,9,265,233,338,215,230,102
Interest,78,80,86,74,9,3,5,5,4,5,6,23,81
Depreciation,35,37,28,27,29,34,38,44,46,50,49,49,46
Profit before tax,-199,-72,-13,30,279,376,198,402,265,404,122,146,-52
Tax %,0%,1%,22%,13%,5%,5%,17%,7%,5%,4%,13%,9%,
Net Profit +,-200,10,182,196,266,358,164,376,252,389,107,133,326
EPS in Rs,-105.02,5.22,79.88,73.71,95.40,118.38,52.36,111.69,75.10,75.00,20.58,25.66,60.52
Dividend Payout %,0%,0%,0%,0%,0%,0%,4%,0%,1%,0%,0%,0%,
