,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,812,"1,210","1,125","1,403","1,861","1,725","1,721","2,586","3,435","3,422","5,049","6,332"
Expenses +,634,711,707,838,942,912,823,993,"1,250","1,313","1,678","1,874"
Operating Profit,178,499,417,566,919,813,898,"1,593","2,185","2,109","3,372","4,458"
OPM %,22%,41%,37%,40%,49%,47%,52%,62%,64%,62%,67%,70%
Other Income +,-0,-2,-1,1,-2,1,3,-1,4,4,2,3
Interest,25,31,26,29,50,42,86,107,274,536,987,"1,699"
Depreciation,13,16,16,15,15,15,61,54,63,75,109,157
Profit before tax,140,450,374,522,852,757,753,"1,431","1,853","1,501","2,278","2,605"
Tax %,36%,35%,36%,35%,35%,35%,28%,25%,25%,26%,26%,25%
Net Profit +,89,294,239,339,553,491,542,"1,068","1,383","1,118","1,697","1,941"
EPS in Rs,1.11,3.65,2.96,4.20,17.18,15.24,16.83,33.14,42.84,34.61,52.46,59.70
Dividend Payout %,45%,55%,67%,61%,32%,62%,65%,65%,56%,55%,55%,30%
