,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"5,092","4,442","6,455","6,754","10,137","6,257","5,048","5,660","7,584","5,284","5,092","4,390","5,856"
Expenses +,"5,001","4,304","6,174","6,582","9,235","6,590","5,060","5,714","7,266","4,902","4,983","4,265","5,707"
Operating Profit,90,139,281,172,902,-333,-12,-55,318,382,109,125,149
OPM %,2%,3%,4%,3%,9%,-5%,-0%,-1%,4%,7%,2%,3%,3%
Other Income +,8,6,22,11,33,179,34,58,25,52,50,37,43
Interest,34,38,51,73,94,84,104,39,50,74,90,60,41
Depreciation,85,85,87,87,90,89,87,90,92,92,91,93,94
Profit before tax,-20,22,164,23,752,-326,-169,-127,201,268,-21,9,57
Tax %,14%,72%,23%,35%,26%,-28%,-28%,-31%,25%,23%,-59%,-35%,19%
Net Profit +,-23,6,125,15,554,-236,-121,-87,151,208,-9,12,46
EPS in Rs,-0.47,0.12,2.56,0.30,11.29,-4.81,-2.48,-1.78,3.08,4.23,-0.18,0.25,0.93
Raw PDF,,,,,,,,,,,,,
