,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,115","1,125","1,313","1,356","1,541","1,768","2,133","2,107","1,525","2,266","2,895","3,131","3,144"
Expenses +,"1,002","1,035","1,195","1,208","1,387","1,562","1,959","1,937","1,432","2,094","2,673","2,858","2,850"
Operating Profit,113,90,118,148,154,206,175,169,93,171,221,273,293
OPM %,10%,8%,9%,11%,10%,12%,8%,8%,6%,8%,8%,9%,9%
Other Income +,5,4,3,3,8,29,25,20,39,17,33,40,37
Interest,31,26,36,38,62,67,75,83,80,78,91,115,112
Depreciation,18,19,18,19,25,29,28,43,48,54,65,66,67
Profit before tax,69,48,67,94,75,138,97,63,4,56,98,131,150
Tax %,34%,36%,35%,38%,33%,34%,31%,15%,22%,25%,23%,25%,
Net Profit +,46,31,43,58,50,90,67,53,3,42,75,98,113
EPS in Rs,3.43,2.15,2.98,3.64,2.87,7.43,5.52,3.65,0.18,2.94,5.59,7.29,8.33
Dividend Payout %,29%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
