,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,458,540,605,940,"1,203","1,431","1,590","1,563","1,641","1,840","2,752","2,896","3,183"
Expenses +,380,447,508,784,999,"1,194","1,357","1,344","1,404","1,580","2,439","2,572","2,842"
Operating Profit,78,93,97,156,204,237,233,219,237,260,313,324,341
OPM %,17%,17%,16%,17%,17%,17%,15%,14%,14%,14%,11%,11%,11%
Other Income +,8,4,4,10,18,21,38,-5,34,48,38,59,56
Interest,11,14,17,26,30,27,25,23,19,15,36,51,59
Depreciation,8,8,9,16,27,37,41,58,57,59,95,104,117
Profit before tax,67,74,75,123,164,193,205,133,194,235,220,228,221
Tax %,29%,32%,33%,35%,31%,28%,35%,22%,27%,26%,31%,27%,
Net Profit +,47,51,50,80,114,138,134,104,143,173,152,167,131
EPS in Rs,3.93,4.23,4.19,5.48,8.66,9.90,9.57,7.43,10.20,12.51,10.99,12.08,9.46
Dividend Payout %,19%,22%,23%,19%,17%,14%,16%,24%,17%,16%,21%,12%,
