,Dec 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,266,170,169,246,309,354,402,330,283,371,373,361,374
Expenses +,227,122,127,227,275,328,369,310,309,349,344,372,358
Operating Profit,38,48,42,19,34,26,32,20,-26,22,29,-10,15
OPM %,14%,28%,25%,8%,11%,7%,8%,6%,-9%,6%,8%,-3%,4%
Other Income +,5,3,2,10,5,8,37,4,5,4,5,15,12
Interest,4,0,0,2,5,9,10,7,3,7,10,5,10
Depreciation,17,11,11,13,20,32,31,35,34,34,33,32,36
Profit before tax,23,40,33,14,14,-7,29,-18,-57,-16,-8,-32,-18
Tax %,25%,25%,26%,57%,27%,71%,-4%,-13%,-7%,-9%,58%,-6%,60%
Net Profit +,17,30,24,6,10,-12,30,-16,-53,-14,-13,-30,-30
EPS in Rs,2.07,2.31,1.85,0.40,0.77,-0.64,1.92,-1.19,-3.68,-0.99,-0.75,-2.05,-1.54
Raw PDF,,,,,,,,,,,,,
