,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,174","1,313","1,472",313,308,343,439,377,313,66,44,67,245
Expenses +,"1,088","1,199","1,320",319,281,305,387,441,344,188,99,141,273
Operating Profit,86,113,152,-6,27,38,52,-64,-31,-122,-55,-75,-28
OPM %,7%,9%,10%,-2%,9%,11%,12%,-17%,-10%,-184%,-125%,-111%,-11%
Other Income +,11,11,5,24,33,6,8,77,9,-249,7,305,153
Interest,61,78,94,48,24,21,27,34,38,38,37,27,28
Depreciation,28,31,40,13,11,12,12,13,12,10,9,7,7
Profit before tax,8,15,22,-43,26,11,21,-34,-71,-418,-95,196,91
Tax %,47%,32%,79%,1%,6%,33%,-11%,-45%,-4%,3%,-4%,-30%,
Net Profit +,4,10,5,-44,25,8,23,-18,-68,-431,-91,254,162
EPS in Rs,1.13,2.61,1.24,-11.44,6.49,1.99,6.08,-4.86,-17.97,-113.17,-23.89,38.12,24.27
Dividend Payout %,47%,15%,0%,0%,12%,46%,8%,0%,0%,0%,0%,0%,
