,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,913","2,228","2,425","2,645","3,061","3,511","2,844","3,143"
Expenses +,"1,693","1,938","2,090","2,157","2,459","2,844","2,369","2,491"
Operating Profit,220,291,335,488,602,667,475,653
OPM %,11%,13%,14%,18%,20%,19%,17%,21%
Other Income +,30,1,-20,19,27,45,96,115
Interest,5,4,7,7,8,6,6,6
Depreciation,24,28,41,47,45,52,62,66
Profit before tax,221,260,267,453,576,654,503,696
Tax %,34%,36%,23%,24%,26%,23%,26%,
Net Profit +,145,166,205,345,424,502,370,517
EPS in Rs,,,4.10,6.92,8.49,10.06,7.40,10.33
Dividend Payout %,0%,38%,18%,12%,12%,12%,80%,
