Ticker,Company Type,Error,QOQ Revenue Growth (%),QOQ Revenue Ascending,YOY Revenue Growth (%),YOY Revenue Ascending,QOQ Profit before tax Growth (%),QOQ Profit before tax Ascending,YOY Profit before tax Growth (%),YOY Profit before tax Ascending,QOQ Net Profit Growth (%),QOQ Net Profit Ascending,YOY Net Profit Growth (%),YOY Net Profit Ascending,QOQ EPS in Rs Growth (%),QOQ EPS in Rs Ascending,YOY EPS in Rs Growth (%),YOY EPS in Rs Ascending
KPIL,Non-Finance,None,15.68,PASS,16.83,PASS,30.4,PASS,13.3,PASS,38.94,PASS,14.25,PASS,33.91,PASS,12.48,PASS
KIRLPNU,Non-Finance,None,78.64,PASS,118.81,PASS,165.17,PASS,289.7,PASS,170.8,PASS,287.91,PASS,168.19,PASS,286.63,PASS
CUB,Finance,None,3.34,PASS,11.25,PASS,2.86,PASS,9.85,PASS,3.0,PASS,9.53,PASS,2.96,PASS,9.44,PASS
INDGN,Non-Finance,None,3.81,PASS,10.96,PASS,7.71,PASS,21.94,PASS,10.46,PASS,23.73,PASS,10.31,PASS,19.11,PASS
JBMA,Non-Finance,None,12.96,PASS,19.56,PASS,26.68,PASS,27.84,PASS,30.04,PASS,33.01,PASS,26.98,PASS,28.34,PASS
POWERINDIA,Non-Finance,None,12.55,PASS,19.55,PASS,188.91,PASS,100.95,PASS,205.92,PASS,104.31,PASS,197.19,PASS,98.66,PASS
APTUS,Non-Finance,None,7.01,PASS,26.55,PASS,6.91,PASS,22.1,PASS,6.39,PASS,22.19,PASS,6.38,PASS,21.99,PASS
PERSISTENT,Non-Finance,None,5.81,PASS,19.58,PASS,8.02,PASS,21.25,PASS,9.05,PASS,23.38,PASS,8.84,PASS,22.69,PASS
SHAKTIPUMP,Non-Finance,None,5.49,PASS,62.57,PASS,6.02,PASS,343.19,PASS,5.78,PASS,339.5,PASS,5.99,PASS,313.24,PASS
CSBBANK,Finance,None,5.65,PASS,24.53,PASS,19.34,PASS,4.4,PASS,19.09,PASS,4.21,PASS,19.12,PASS,4.16,PASS
CAPLIPOINT,Non-Finance,None,3.04,PASS,14.91,PASS,4.82,PASS,22.55,PASS,5.08,PASS,19.82,PASS,4.79,PASS,19.33,PASS
KARURVYSYA,Finance,None,3.27,PASS,21.93,PASS,3.23,PASS,34.76,PASS,3.78,PASS,33.06,PASS,3.83,PASS,32.79,PASS
BAJAJHFL,Finance,None,4.38,PASS,30.09,PASS,4.69,PASS,27.65,PASS,6.84,PASS,31.28,PASS,4.17,PASS,19.37,PASS
SCHNEIDER,Non-Finance,None,23.22,PASS,19.24,PASS,65.74,PASS,59.68,PASS,539.35,PASS,32.44,PASS,488.45,PASS,32.54,PASS
KEI,Non-Finance,None,12.34,PASS,18.73,PASS,15.57,PASS,20.81,PASS,15.79,PASS,20.8,PASS,13.68,PASS,17.42,PASS
MASFIN,Finance,None,6.36,PASS,27.66,PASS,4.92,PASS,24.41,PASS,4.39,PASS,23.46,PASS,4.76,PASS,17.66,PASS
AFFLE,Non-Finance,None,5.1,PASS,25.74,PASS,5.11,PASS,29.54,PASS,5.81,PASS,24.92,PASS,5.93,PASS,21.84,PASS
INOXWIND,Non-Finance,None,20.01,PASS,99.5,PASS,76.75,PASS,-477.03,PASS,46.53,PASS,-368.92,PASS,37.99,PASS,-477.79,PASS
ASTRAMICRO,Non-Finance,None,39.51,PASS,13.51,PASS,139.94,PASS,46.96,PASS,133.49,PASS,50.06,PASS,131.13,PASS,42.51,PASS
TATAELXSI,Non-Finance,None,6.55,PASS,17.07,PASS,13.47,PASS,138.89,PASS,12.7,PASS,142.26,PASS,12.85,PASS,140.19,PASS
ELECON,Non-Finance,None,28.19,PASS,20.79,PASS,27.12,PASS,35.24,PASS,26.15,PASS,33.08,PASS,26.13,PASS,33.27,PASS
PNBHOUSING,Finance,None,3.51,PASS,8.37,PASS,8.82,PASS,35.4,PASS,8.39,PASS,36.28,PASS,8.41,PASS,36.17,PASS
NETWEB,Non-Finance,None,41.93,PASS,60.7,PASS,41.32,PASS,56.44,PASS,44.02,PASS,55.85,PASS,41.83,PASS,48.07,PASS
JKIL,Non-Finance,None,8.56,PASS,16.38,PASS,9.53,PASS,19.61,PASS,9.52,PASS,19.46,PASS,9.63,PASS,19.41,PASS
CANBK,Finance,None,2.59,PASS,19.35,PASS,6.98,PASS,26.88,PASS,7.97,PASS,25.31,PASS,8.0,PASS,25.27,PASS
GRSE,Non-Finance,None,17.86,PASS,40.79,PASS,52.66,PASS,51.93,PASS,53.87,PASS,52.1,PASS,53.78,PASS,52.13,PASS
IOB,Finance,None,5.31,PASS,20.48,PASS,28.38,PASS,39.54,PASS,19.05,PASS,27.05,PASS,18.9,PASS,25.92,PASS
AADHARHFC,Finance,None,5.33,PASS,23.38,PASS,7.23,PASS,30.06,PASS,7.11,PASS,29.61,PASS,6.69,PASS,24.47,PASS
ANANTRAJ,Non-Finance,None,4.7,PASS,46.94,PASS,10.74,PASS,57.92,PASS,9.48,PASS,69.54,PASS,9.27,PASS,61.91,PASS
MUTHOOTFIN,Finance,None,7.93,PASS,30.4,PASS,5.53,PASS,21.49,PASS,6.52,PASS,20.76,PASS,8.29,PASS,21.52,PASS
SWSOLAR,Non-Finance,None,42.68,PASS,79.13,PASS,83.51,PASS,-140.09,PASS,130.81,PASS,-111.4,PASS,150.1,PASS,-111.82,PASS
NEWGEN,Non-Finance,None,11.0,PASS,23.63,PASS,33.1,PASS,36.16,PASS,31.44,PASS,33.69,PASS,31.67,PASS,33.0,PASS
TRITURBINE,Non-Finance,None,5.19,PASS,26.91,PASS,7.07,PASS,38.22,PASS,6.03,PASS,36.42,PASS,5.54,PASS,36.24,PASS
CGCL,Non-Finance,None,10.16,PASS,49.15,PASS,33.63,PASS,54.76,PASS,32.88,PASS,53.89,PASS,32.78,PASS,53.89,PASS
POWERMECH,Non-Finance,None,23.52,PASS,20.62,PASS,28.05,PASS,32.48,PASS,28.87,PASS,30.06,PASS,25.56,PASS,21.71,PASS
BALUFORGE,Non-Finance,None,15.9,PASS,68.13,PASS,22.67,PASS,123.17,PASS,23.62,PASS,129.02,PASS,20.31,PASS,99.78,PASS
INDIANB,Finance,None,1.79,PASS,17.59,PASS,9.18,PASS,59.94,PASS,5.1,PASS,42.42,PASS,5.12,PASS,36.74,PASS
KIRLOSBROS,Non-Finance,None,7.63,PASS,9.77,PASS,22.74,PASS,33.74,PASS,28.52,PASS,34.01,PASS,28.82,PASS,33.72,PASS
ASHOKLEY,Non-Finance,None,11.36,PASS,7.94,PASS,29.71,PASS,46.61,PASS,32.69,PASS,61.93,PASS,31.76,PASS,62.77,PASS
SBFC,Finance,None,6.61,PASS,33.5,PASS,5.99,PASS,51.23,PASS,5.97,PASS,51.78,PASS,6.03,PASS,38.11,PASS
BEL,Non-Finance,None,30.79,PASS,15.78,PASS,41.21,PASS,34.52,PASS,40.11,PASS,33.52,PASS,40.22,PASS,33.58,PASS
CHOLAFIN,Finance,None,6.64,PASS,41.8,PASS,10.19,PASS,26.06,PASS,10.14,PASS,26.49,PASS,10.1,PASS,25.04,PASS
GRAVITA,Non-Finance,None,4.55,PASS,17.63,PASS,15.75,PASS,26.33,PASS,12.0,PASS,23.98,PASS,10.1,PASS,20.54,PASS
RECLTD,Non-Finance,None,5.45,PASS,19.48,PASS,8.27,PASS,20.62,PASS,7.8,PASS,19.48,PASS,7.8,PASS,19.48,PASS
HOMEFIRST,Finance,None,7.36,PASS,38.8,PASS,6.58,PASS,30.55,PASS,6.08,PASS,29.52,PASS,5.63,PASS,28.0,PASS
IKS,Non-Finance,None,5.36,PASS,61.43,PASS,33.8,PASS,30.11,PASS,35.15,PASS,26.33,PASS,35.25,PASS,26.03,PASS
