,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,306","1,360","1,861","2,837","2,252","2,411","3,774","5,603","5,788","7,208","7,956","8,650","7,665"
Expenses +,"1,148","1,184","1,581","2,214","1,647","1,648","2,768","4,275","4,366","5,674","6,356","6,645","5,225"
Operating Profit,157,176,280,622,605,763,"1,007","1,328","1,422","1,534","1,600","2,005","2,440"
OPM %,12%,13%,15%,22%,27%,32%,27%,24%,25%,21%,20%,23%,32%
Other Income +,3,11,12,12,39,24,47,182,107,87,81,82,133
Interest,25,61,93,257,310,309,348,439,426,425,470,660,801
Depreciation,23,40,60,213,242,262,346,351,363,390,253,177,198
Profit before tax,112,85,139,164,92,216,360,719,740,806,957,"1,249","1,573"
Tax %,33%,41%,34%,-27%,-28%,-12%,2%,24%,33%,28%,31%,27%,
Net Profit +,75,51,91,209,118,243,351,550,497,580,658,909,"1,136"
EPS in Rs,3.75,2.77,4.59,8.13,4.61,9.47,13.70,21.43,19.39,22.62,25.67,35.45,44.27
Dividend Payout %,4%,5%,7%,6%,11%,5%,4%,2%,3%,2%,2%,2%,
