,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"3,926","4,859","5,629","5,641","5,583","6,049","6,895","7,346","10,498","19,062","18,051","13,188","15,618"
Expenses +,"3,566","4,464","5,147","5,131","5,110","5,657","6,438","6,831","9,855","17,781","16,911","12,715","15,116"
Operating Profit,360,396,482,509,473,392,457,515,643,"1,281","1,140",473,502
OPM %,9%,8%,9%,9%,8%,6%,7%,7%,6%,7%,6%,4%,3%
Other Income +,66,36,53,35,46,27,37,97,-35,274,119,231,73
Interest,45,61,60,46,37,35,36,75,143,96,86,140,143
Depreciation,147,175,157,201,166,159,156,232,306,238,278,400,424
Profit before tax,234,196,317,297,315,225,302,305,159,"1,222",895,164,8
Tax %,22%,21%,22%,17%,25%,23%,18%,23%,40%,21%,27%,15%,
Net Profit +,183,154,249,248,238,174,248,234,95,965,653,140,40
EPS in Rs,1.68,1.48,2.38,2.38,2.36,1.74,2.46,2.27,1.76,9.42,6.41,1.52,0.43
Dividend Payout %,11%,13%,11%,21%,21%,29%,36%,33%,28%,8%,13%,66%,
