,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,787,690,722,849,657,807,741,"1,009",713,"1,093",941,"1,036","1,152"
Expenses +,641,558,581,729,584,663,616,844,609,928,796,878,"1,002"
Operating Profit,146,132,141,120,73,144,125,165,104,165,145,157,149
OPM %,19%,19%,20%,14%,11%,18%,17%,16%,15%,15%,15%,15%,13%
Other Income +,-21,0,0,0,5,3,5,25,14,0,9,9,16
Interest,15,8,14,21,20,7,15,18,18,20,21,30,36
Depreciation,10,11,16,15,16,16,19,20,22,22,25,25,30
Profit before tax,100,113,110,84,41,123,97,151,79,124,108,111,100
Tax %,29%,25%,30%,20%,9%,23%,24%,24%,26%,26%,28%,26%,24%
Net Profit +,71,85,77,67,38,95,74,114,58,92,78,82,75
EPS in Rs,3.61,4.31,3.91,3.39,1.90,4.78,3.72,5.77,2.93,4.64,3.93,4.12,3.81
Raw PDF,,,,,,,,,,,,,
