,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"17,258","23,299","19,324","30,548","34,068","44,604","43,798","81,913","82,983","80,636","131,988","116,888"
Expenses +,"16,747","22,505","18,404","29,479","32,736","43,130","42,447","81,040","82,254","80,514","131,742","115,542"
Operating Profit,511,794,920,"1,068","1,332","1,474","1,351",872,730,122,246,"1,346"
OPM %,3%,3%,5%,4%,4%,3%,3%,1%,1%,0%,0%,1%
Other Income +,344,183,129,139,156,266,529,867,"1,032","1,862","1,917","1,346"
Interest,5,4,5,5,6,8,0,0,0,10,9,0
Depreciation,35,34,37,48,59,92,89,99,75,68,76,0
Profit before tax,816,939,"1,007","1,154","1,422","1,642","1,790","1,640","1,687","1,906","2,078","2,693"
Tax %,11%,13%,16%,17%,19%,19%,21%,11%,11%,10%,9%,10%
Net Profit +,728,815,844,955,"1,150","1,327","1,422","1,456","1,506","1,721","1,894","2,413"
EPS in Rs,7.28,8.15,8.44,9.55,11.50,13.27,14.22,14.56,15.05,17.19,18.91,24.08
Dividend Payout %,14%,15%,14%,16%,17%,15%,0%,17%,13%,15%,14%,11%
