,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,239,158,211,195,240,193,264,231,374,296,415,380,591
Expenses +,199,152,190,184,202,179,228,211,313,265,360,347,479
Operating Profit,40,6,22,10,38,14,36,20,61,31,55,33,111
OPM %,17%,4%,10%,5%,16%,7%,14%,9%,16%,11%,13%,9%,19%
Other Income +,1,4,1,1,2,2,1,2,3,1,1,3,1
Interest,9,9,10,11,10,9,10,12,12,13,14,15,18
Depreciation,15,14,16,16,18,17,18,18,21,19,21,23,26
Profit before tax,17,-13,-4,-15,12,-10,8,-8,31,0,22,-2,69
Tax %,27%,-27%,-22%,-25%,26%,-25%,26%,-33%,25%,"-7,100%",25%,-20%,25%
Net Profit +,12,-10,-3,-12,9,-8,6,-6,24,4,16,-2,51
EPS in Rs,3.57,-2.77,-0.82,-3.37,2.71,-2.24,1.80,-1.65,6.81,1.04,4.72,-0.56,14.80
Raw PDF,,,,,,,,,,,,,
