,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,243,826,189,305,"1,067","1,787","1,808","1,530","1,342","2,758","2,872","3,584"
Expenses +,234,826,236,337,990,"1,608","1,617","1,365","1,195","2,511","2,447","3,065"
Operating Profit,10,-1,-47,-32,77,179,191,164,147,247,425,520
OPM %,4%,-0%,-25%,-10%,7%,10%,11%,11%,11%,9%,15%,14%
Other Income +,-2,238,83,78,95,93,112,142,103,668,162,180
Interest,40,138,13,10,33,54,77,110,83,119,110,158
Depreciation,35,88,27,21,24,11,23,16,16,13,28,51
Profit before tax,-68,11,-4,15,116,207,203,180,152,783,449,490
Tax %,-10%,94%,-116%,67%,40%,39%,25%,28%,17%,7%,29%,28%
Net Profit +,-61,1,1,5,69,127,151,130,126,726,319,354
EPS in Rs,-15.25,0.17,0.04,0.34,4.71,8.56,10.03,8.66,8.33,48.19,21.32,23.30
Dividend Payout %,0%,0%,0%,223%,32%,23%,20%,17%,18%,18%,14%,13%
