,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,187,118,184,200,273,252,303,337,412
Expenses +,169,111,169,179,246,230,276,308,376
Operating Profit,18,8,15,20,27,22,27,29,36
OPM %,9%,7%,8%,10%,10%,9%,9%,9%,9%
Other Income +,1,1,1,4,5,5,6,4,13
Interest,6,4,3,2,4,2,2,2,1
Depreciation,3,2,2,2,2,2,2,4,6
Profit before tax,10,3,10,21,26,23,28,26,41
Tax %,25%,31%,24%,27%,26%,27%,28%,25%,25%
Net Profit +,8,2,8,15,19,17,20,20,31
EPS in Rs,0.82,0.22,0.62,1.25,1.56,1.37,1.65,1.47,2.32
Raw PDF,,,,,,,,,
