,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"1,873","1,931","2,026","2,121","2,187","2,301","2,478","2,649","2,854","2,613","2,556","2,443","2,591"
Interest,773,776,776,809,861,888,932,985,"1,063","1,034",963,996,"1,169"
Expenses +,707,731,709,740,779,822,877,948,"1,255","1,109","1,105","1,307","1,065"
Financing Profit,393,424,541,571,547,591,670,715,536,470,488,140,357
Financing Margin %,21%,22%,27%,27%,25%,26%,27%,27%,19%,18%,19%,6%,14%
Other Income +,60,44,25,24,89,69,57,46,68,12,-582,6,3
Depreciation,33,34,37,39,42,42,43,45,50,46,46,46,51
Profit before tax,420,434,529,555,594,618,684,716,554,436,-140,101,309
Tax %,24%,24%,25%,24%,23%,24%,23%,24%,22%,22%,-33%,19%,19%
Net Profit +,321,330,397,423,458,473,526,545,431,338,-93,82,251
EPS in Rs,7.61,7.81,8.99,8.96,9.76,10.06,11.20,11.58,8.81,6.79,-3.72,0.96,4.89
Gross NPA %,3.15%,2.60%,2.42%,2.08%,1.84%,1.84%,1.84%,1.71%,2.32%,2.25%,2.35%,2.42%,2.23%
Net NPA %,1.83%,1.15%,1.22%,1.06%,1.08%,1.06%,1.02%,0.87%,1.20%,1.11%,1.06%,1.01%,1.05%
Raw PDF,,,,,,,,,,,,,
