,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue +,"1,286","1,272","1,246","1,337","1,410","1,484","1,582","1,708","1,821","2,156","1,952","2,085","2,190"
Interest,551,546,541,578,622,667,739,821,910,948,985,"1,050","1,087"
Expenses +,367,274,331,329,327,300,382,375,351,524,402,436,462
Financing Profit,369,452,375,430,460,516,461,512,561,684,565,599,642
Financing Margin %,29%,36%,30%,32%,33%,35%,29%,30%,31%,32%,29%,29%,29%
Other Income +,4,23,7,3,1,58,8,2,7,-90,8,11,17
Depreciation,25,34,29,33,36,41,39,44,48,53,48,53,58
Profit before tax,347,441,353,400,425,533,430,471,520,541,525,557,601
Tax %,24%,21%,27%,30%,24%,23%,28%,30%,23%,28%,23%,27%,25%
Net Profit +,314,398,277,332,382,509,429,435,506,472,435,436,455
EPS in Rs,26.00,30.60,22.11,27.55,29.96,38.99,33.77,32.89,38.47,24.11,39.14,39.26,41.00
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
