,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,772,845,888,994,"1,013","1,074","1,089","1,341","1,331","1,525","1,784","1,943","2,078"
Expenses +,591,638,690,765,769,841,860,"1,038",997,"1,271","1,533","1,604","1,759"
Operating Profit,181,207,199,229,243,233,229,304,334,254,251,339,320
OPM %,23%,24%,22%,23%,24%,22%,21%,23%,25%,17%,14%,17%,15%
Other Income +,46,39,46,39,44,45,42,57,95,76,50,102,102
Interest,2,3,2,1,1,1,1,3,3,3,4,4,4
Depreciation,28,25,39,34,35,35,33,37,38,37,39,40,49
Profit before tax,198,218,204,232,252,241,237,320,388,289,258,396,369
Tax %,22%,38%,27%,27%,25%,28%,28%,25%,22%,25%,25%,23%,
Net Profit +,155,135,148,169,189,174,170,240,301,216,194,305,274
EPS in Rs,8.49,7.61,8.33,9.48,10.60,9.95,9.74,14.03,17.85,12.82,11.70,18.75,16.85
Dividend Payout %,26%,30%,27%,24%,21%,0%,0%,6%,0%,0%,0%,0%,
